Path,Total Latency (s),Total Noise (W),SNR (dB)
A->B,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
A->C->D->B,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
A->C->D->E->F->B,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
A->C->D->F->B,0.004507709181455667,9.015418362911336e-07,30.450141149218332
A->C->E->D->B,0.004174483882858279,8.34896776571656e-07,30.783672156978156
A->C->E->D->F->B,0.006236036695667109,1.2472073391334222e-06,29.040613422260705
A->C->E->F->B,0.004507709181455667,9.015418362911336e-07,30.450141149218332
A->C->E->F->D->B,0.004324270664102948,8.648541328205898e-07,30.63057134908698
A->D->B,0.001903943276465977,3.807886552931955e-07,34.19315998882512
A->D->C->E->F->B,0.003807886552931954,7.61577310586391e-07,31.18286003218531
A->D->E->F->B,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
A->D->F->B,0.003965496089274807,7.930992178549617e-07,31.006724784181998
A->B->D->C,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
A->B->D->E->C,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
A->B->D->F->E->C,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
A->B->F->D->C,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
A->B->F->D->E->C,0.005632095403507193,1.126419080701439e-06,29.483000015141428
A->B->F->E->C,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
A->B->F->E->D->C,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
A->C,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
A->D->B->F->E->C,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
A->D->C,0.001903943276465977,3.807886552931955e-07,34.19315998882512
A->D->E->C,0.0037067189141979716,7.413437828395945e-07,31.299803502301586
A->D->F->E->C,0.003807886552931954,7.61577310586391e-07,31.18286003218531
A->B->D,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
A->B->F->D,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
A->B->F->E->C->D,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
A->B->F->E->D,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
A->C->D,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
A->C->E->D,0.004174483882858279,8.34896776571656e-07,30.783672156978156
A->C->E->F->B->D,0.004507709181455667,9.015418362911336e-07,30.450141149218332
A->C->E->F->D,0.004324270664102948,8.648541328205898e-07,30.63057134908698
A->D,0.001903943276465977,3.807886552931955e-07,34.19315998882512
A->B->D->C->E,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
A->B->D->E,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
A->B->D->F->E,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
A->B->F->D->C->E,0.0057332630422411756,1.1466526084482354e-06,29.4056813666335
A->B->F->D->E,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
A->B->F->E,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
A->C->D->B->F->E,0.004507709181455667,9.015418362911336e-07,30.450141149218332
A->C->D->E,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
A->C->D->F->E,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
A->C->E,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
A->D->B->F->E,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
A->D->C->E,0.003807886552931954,7.61577310586391e-07,31.18286003218531
A->D->E,0.001903943276465977,3.807886552931955e-07,34.19315998882512
A->D->F->E,0.003807886552931954,7.61577310586391e-07,31.18286003218531
A->B->D->C->E->F,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
A->B->D->E->F,0.004860096172179614,9.72019234435923e-07,30.123251411161796
A->B->D->F,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
A->B->F,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
A->C->D->B->F,0.004507709181455667,9.015418362911336e-07,30.450141149218332
A->C->D->E->F,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
A->C->D->F,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
A->C->E->D->B->F,0.006127046301834943,1.2254092603669888e-06,29.117188420462654
A->C->E->D->F,0.004174483882858279,8.34896776571656e-07,30.783672156978156
A->C->E->F,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
A->D->B->F,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
A->D->C->E->F,0.003807886552931954,7.61577310586391e-07,31.18286003218531
A->D->E->F,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
A->D->F,0.001903943276465977,3.807886552931955e-07,34.19315998882512
B->A,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
B->D->A,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
B->D->C->A,0.003965496089274807,7.930992178549617e-07,31.006724784181998
B->D->E->C->A,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
B->D->F->E->C->A,0.003965496089274807,7.930992178549617e-07,31.006724784181998
